Year,Baisakh,Jestha,Ashar,Shrawan,Bhadra,Asoj,Kartik,Mangsir,Poush,Magh,Falgun,Chait
2070,31,31,31,32,31,31,29,30,30,29,30,30
2071,31,31,32,31,31,31,30,29,30,29,30,30
2072,31,32,31,32,31,30,30,29,30,29,30,30
2073,31,32,31,32,31,30,30,30,29,29,30,31
2074,31,31,31,32,31,31,30,29,30,29,30,30
2075,31,31,32,31,31,31,30,29,30,29,30,30
2076,31,32,31,32,31,30,30,30,29,29,30,30
2077,31,32,31,32,31,30,30,30,29,30,29,31
2078,31,31,31,32,31,31,30,29,30,29,30,30
2079,31,31,32,31,31,31,30,29,30,29,30,30
2080,31,32,31,32,31,30,30,30,29,29,30,30
2081,31,31,32,32,31,30,30,30,29,30,30,30
2082,30,32,31,32,31,30,30,30,29,30,30,30
2083,31,31,32,31,31,30,30,30,29,30,30,30
2084,31,31,32,31,31,30,30,30,29,30,30,30
2085,31,32,31,32,30,31,30,30,29,30,30,30
2086,30,32,31,32,31,30,30,30,29,30,30,30
2087,31,31,32,31,31,31,30,30,29,30,30,30
2088,30,31,32,32,30,31,30,30,29,30,30,30
2089,30,32,31,32,31,30,30,30,29,30,30,30
2090,30,32,31,32,31,30,30,30,29,30,30,30
2091,31,31,32,31,31,31,30,30,29,30,30,30
2092,30,31,32,32,31,30,30,30,29,30,30,30
2093,30,32,31,32,31,30,30,30,29,30,30,30
2094,31,31,32,31,31,30,30,30,29,30,30,30
2095,31,31,32,31,31,31,30,29,30,30,30,30
2096,30,31,32,32,31,30,30,29,30,29,30,30
2097,31,32,31,32,31,30,30,30,29,30,30,30
2098,31,31,32,31,31,31,29,30,29,30,29,31
2099,31,31,32,31,31,31,30,29,29,30,30,30
2100,31,32,31,32,30,31,30,29,30,29,30,30
